country,date,life_expectancy,under5_mortality_rate,adolescent_fertility_rate
East Asia & Pacific,2023,76.6594765888736,14.5,14.5658041642994
East Asia & Pacific,2022,76.6767836620228,14.7,14.8003427443335
East Asia & Pacific,2021,76.1530093756951,14.9,15.1972253398073
East Asia & Pacific,2020,76.5434376080231,14.9,15.8789411190156
East Asia & Pacific,2019,76.586261929345,14.8,17.2613936526674
East Asia & Pacific,2018,76.3914229383171,15.2,18.2119285322282
East Asia & Pacific,2017,76.0789923585537,15.3,19.8566033552523
East Asia & Pacific,2016,75.9870166732102,16.1,20.9930225790164
East Asia & Pacific,2015,75.7926010192992,16.9,21.947533416518
East Asia & Pacific,2014,75.5644270391791,17.5,23.0386449605679
East Asia & Pacific,2013,75.3347729864006,18.5,23.4088018684451
East Asia & Pacific,2012,75.1059726864745,19.3,23.7671446730141
East Asia & Pacific,2011,74.8252830592191,20.6,23.2008270815054
East Asia & Pacific,2010,74.6299790050688,21.6,22.9961631866845
East Asia & Pacific,2009,74.3683471715786,22.7,22.1622715359795
East Asia & Pacific,2008,73.8481629943997,25.1,20.9814801531091
East Asia & Pacific,2007,73.8948513504332,25.6,19.3479927114869
East Asia & Pacific,2006,73.5640440034615,27.1,18.4790984829981
East Asia & Pacific,2005,73.2984345512681,28.9,17.0464016540158
East Asia & Pacific,2004,72.812660596894,31.6,16.7696796889179
East Asia & Pacific,2003,72.7346908938812,32.7,17.6707767243047
East Asia & Pacific,2002,72.3571058107458,35.6,17.8622930521013
East Asia & Pacific,2001,72.0413059988772,37.7,18.3310642317834
East Asia & Pacific,2000,71.7028323240299,39.8,18.5683135918728
East Asia & Pacific,1999,71.367553266776,42.1,18.6594998211644
East Asia & Pacific,1998,71.0996369774154,44.1,18.2878017404042
East Asia & Pacific,1997,70.790128954889,46.0,19.8600694253643
East Asia & Pacific,1996,70.4333037747705,47.9,21.0897490736782
East Asia & Pacific,1995,70.0243977782735,49.8,22.3534412371621
East Asia & Pacific,1994,69.7609957361386,50.7,22.3216581975586
East Asia & Pacific,1993,69.4645680383496,52.5,24.9326757195704
East Asia & Pacific,1992,69.0651062725422,54.1,26.4856843589782
East Asia & Pacific,1991,68.6751925991143,55.4,28.24124486292
East Asia & Pacific,1990,68.282548103101,56.6,30.7341157769396
Europe & Central Asia,2023,78.3850839138524,8.0,11.7306732088658
Europe & Central Asia,2022,77.8355823085115,7.8,11.8544904174512
Europe & Central Asia,2021,76.7258520529865,7.9,12.4376564919541
Europe & Central Asia,2020,77.1746102388977,8.1,12.7172408363444
Europe & Central Asia,2019,78.3034868293731,8.3,13.7031661907762
Europe & Central Asia,2018,78.0332018400862,8.5,14.6244870765286
Europe & Central Asia,2017,77.9016112275008,8.8,15.7146685631704
Europe & Central Asia,2016,77.6839906370801,9.1,17.3993759350469
Europe & Central Asia,2015,77.3336212065625,9.5,18.5693511386137
Europe & Central Asia,2014,77.3562031506615,10.0,19.7948490870892
Europe & Central Asia,2013,77.0318539021954,10.4,20.2553117317277
Europe & Central Asia,2012,76.6765065925846,10.8,21.2568414615631
Europe & Central Asia,2011,76.4752709109951,11.2,21.464356486164
Europe & Central Asia,2010,75.9917245223555,11.7,22.0984021002342
Europe & Central Asia,2009,75.6861640143731,12.4,23.0720922374307
Europe & Central Asia,2008,75.2996757833352,13.1,23.0626155146633
Europe & Central Asia,2007,75.0063838869599,13.9,22.51785642461
Europe & Central Asia,2006,74.6378873408393,14.7,22.4307747407564
Europe & Central Asia,2005,74.1522116626576,15.6,22.3725125894203
Europe & Central Asia,2004,73.9869848647234,16.6,22.6186242499562
Europe & Central Asia,2003,73.5621790203815,17.5,22.5700163678504
Europe & Central Asia,2002,73.4462483794764,18.7,23.003363315197
Europe & Central Asia,2001,73.355878633619,19.8,23.7250742512102
Europe & Central Asia,2000,73.113794854398,21.1,24.9249267597012
Europe & Central Asia,1999,72.8390082653967,22.6,26.35112387889
Europe & Central Asia,1998,72.9146919478517,24.0,28.0577083227099
Europe & Central Asia,1997,72.6453006895159,25.2,29.5237751644259
Europe & Central Asia,1996,72.2499222341206,26.5,31.1343519299874
Europe & Central Asia,1995,71.8302633979087,27.9,33.0911258969675
Europe & Central Asia,1994,71.6871243433757,28.7,34.9195572379134
Europe & Central Asia,1993,71.5316165448208,29.6,35.5992565779912
Europe & Central Asia,1992,71.8543255950138,30.0,36.2607929176456
Europe & Central Asia,1991,72.1536909841619,30.3,37.4459008349932
Europe & Central Asia,1990,72.1943874149578,30.9,37.0037690774258
Latin America & Caribbean,2023,75.6435328335589,15.9,51.2455029325906
Latin America & Caribbean,2022,74.6471987679861,16.2,51.6840691258951
Latin America & Caribbean,2021,71.814166581712,16.5,53.2575099109251
Latin America & Caribbean,2020,73.1889336743784,16.9,54.7793981431197
Latin America & Caribbean,2019,75.2031996245697,17.2,57.6615321355207
Latin America & Caribbean,2018,75.0517933767624,17.5,60.1127318968953
Latin America & Caribbean,2017,74.8312335638194,17.9,62.1040291032244
Latin America & Caribbean,2016,74.676814485376,18.6,64.0923503744731
Latin America & Caribbean,2015,74.7426282903887,18.5,67.2614520589598
Latin America & Caribbean,2014,74.5603866098565,18.9,69.9140481138779
Latin America & Caribbean,2013,74.3806019554291,19.4,71.7281480567165
Latin America & Caribbean,2012,74.1641690618743,20.0,72.8742431902256
Latin America & Caribbean,2011,73.9247722508294,20.6,73.2631719515502
Latin America & Caribbean,2010,73.4092962258677,22.8,73.3739581510282
Latin America & Caribbean,2009,73.4422623291814,22.1,74.3106520552389
Latin America & Caribbean,2008,73.2561404095911,22.9,74.8321177892508
Latin America & Caribbean,2007,73.0593298775944,23.8,75.1045373864268
Latin America & Caribbean,2006,72.8332266680253,24.8,75.5632127328012
Latin America & Caribbean,2005,72.5638143751286,25.9,76.4719366646464
Latin America & Caribbean,2004,72.203823196463,27.1,77.0415546996407
Latin America & Caribbean,2003,71.878308455923,28.4,77.8542109875117
Latin America & Caribbean,2002,71.5629004971875,29.8,79.8573139761206
Latin America & Caribbean,2001,71.1505464911298,31.3,81.6858134518172
Latin America & Caribbean,2000,70.8691414957334,33.0,83.0892167409107
Latin America & Caribbean,1999,70.5489161767663,34.7,84.1279183085491
Latin America & Caribbean,1998,70.1597429021998,37.2,84.8080498403773
Latin America & Caribbean,1997,69.9622221194511,38.6,85.3089795743038
Latin America & Caribbean,1996,69.5658524577749,40.8,85.843726971705
Latin America & Caribbean,1995,69.1860038199173,43.0,86.4013524883062
Latin America & Caribbean,1994,68.8002934223806,45.3,86.9099509299772
Latin America & Caribbean,1993,68.4262943768375,47.6,87.465693099555
Latin America & Caribbean,1992,68.0909397835243,50.0,87.7197713246847
Latin America & Caribbean,1991,67.8238040154633,52.4,88.5914815297091
Latin America & Caribbean,1990,67.5066051855487,54.8,89.1889802236573
Middle East & North Africa,2023,74.7289418701614,20.0,34.7239224807186
Middle East & North Africa,2022,74.2784014757612,20.2,35.0305736049695
Middle East & North Africa,2021,72.4052751407347,20.7,35.4828191363777
Middle East & North Africa,2020,72.6473205039178,21.2,36.4002161842172
Middle East & North Africa,2019,74.1050241514542,21.9,37.1905856047606
Middle East & North Africa,2018,73.7776893677376,22.5,38.7376219557002
Middle East & North Africa,2017,73.5322540956613,22.8,40.8143487691457
Middle East & North Africa,2016,73.2101124036595,23.3,41.6506257613109
Middle East & North Africa,2015,72.9644986239119,24.3,43.1195809528314
Middle East & North Africa,2014,72.8550642698798,24.9,43.9120741111226
Middle East & North Africa,2013,72.5437836532402,25.8,44.3435858834231
Middle East & North Africa,2012,72.3112097030272,26.6,43.8677843928231
Middle East & North Africa,2011,72.3592287918714,26.8,43.1998037081099
Middle East & North Africa,2010,72.2396695148759,27.6,43.0557590486232
Middle East & North Africa,2009,72.0014965984417,28.8,42.8311967076144
Middle East & North Africa,2008,71.6618570666774,30.1,42.5436629628198
Middle East & North Africa,2007,71.2416167470915,31.5,42.6444717946976
Middle East & North Africa,2006,70.9061578285589,33.2,42.534311169371
Middle East & North Africa,2005,70.6835798645461,34.8,41.5522620272856
Middle East & North Africa,2004,70.3709199380639,36.4,41.1859871828583
Middle East & North Africa,2003,69.8313535675029,38.2,41.4497787876938
Middle East & North Africa,2002,69.8092123094026,40.0,41.4245172751779
Middle East & North Africa,2001,69.4073104158587,41.9,42.443891525154
Middle East & North Africa,2000,69.0202012073754,44.0,43.7234121719571
Middle East & North Africa,1999,68.6397692697324,46.1,44.9070281467085
Middle East & North Africa,1998,68.2332422742635,48.3,46.0973501437573
Middle East & North Africa,1997,67.8395991907392,50.5,48.1405194888607
Middle East & North Africa,1996,67.5159974062204,52.6,50.0190498493226
Middle East & North Africa,1995,67.1382095194761,54.9,52.9233785788295
Middle East & North Africa,1994,66.779392477494,57.0,56.2303258638622
Middle East & North Africa,1993,66.5257657895125,59.2,60.2044251220575
Middle East & North Africa,1992,66.1706715696235,61.6,63.4102145870665
Middle East & North Africa,1991,65.5329699716297,65.1,66.2449486249009
Middle East & North Africa,1990,64.4425409320936,68.8,69.4224347859565
North America,2023,78.7346843354417,6.4,12.3824070791343
North America,2022,77.8335952774092,6.3,12.8514355084757
North America,2021,76.8658414540672,6.3,12.9771071186231
North America,2020,77.449874465938,6.3,13.9222091787991
North America,2019,79.1352040049013,6.4,15.3175284649239
North America,2018,78.9622913350647,6.4,16.2439676998849
North America,2017,78.8701588053496,6.5,17.5361152266559
North America,2016,78.8812268281882,6.6,19.0479805128069
North America,2015,79.0045714171547,6.6,20.9043207969904
North America,2014,79.1363796268868,6.7,22.9387843422517
North America,2013,79.0416981446533,6.8,25.1183935140027
North America,2012,79.0326101441732,6.9,27.7657937913505
North America,2011,78.9236409674448,7.0,29.9096194248837
North America,2010,78.8169956868836,7.2,32.8319090874407
North America,2009,78.6547128363776,7.3,35.8830291201936
North America,2008,78.3038592516027,7.5,37.6376889444622
North America,2007,78.2395331531403,7.6,38.2933556006922
North America,2006,77.9690402937581,7.7,37.8352910821049
North America,2005,77.7462382909607,7.8,37.0246749719069
North America,2004,77.7343375427686,7.9,37.7027308608621
North America,2003,77.3002796759891,8.0,38.4966685025407
North America,2002,77.1919358768587,8.1,40.0089624494641
North America,2001,77.0883485337654,8.2,42.2375567400154
North America,2000,76.8850332429286,8.3,44.632258612998
North America,1999,76.8047860395782,8.4,45.8263174778833
North America,1998,76.7819490135195,8.6,46.9889563766628
North America,1997,76.6253579363396,8.7,47.7555295831281
North America,1996,76.2440970663798,9.0,49.6132445839356
North America,1995,75.8554630666128,9.2,51.7577258318751
North America,1994,75.8429823471392,9.5,53.7433752439495
North America,1993,75.6464787218972,9.9,54.9283428324075
North America,1992,75.837971168818,10.2,56.3496339538823
North America,1991,75.5878135699287,10.6,57.9768172811936
North America,1990,75.4361985040414,11.0,57.8244855445899
South Asia,2023,71.5981522316417,34.8,26.0630626258771
South Asia,2022,71.297816101496,36.1,26.3248534502817
South Asia,2021,67.4105303022068,37.6,26.7909844510872
South Asia,2020,69.6005740994618,39.2,27.360446277196
South Asia,2019,70.3091258029728,40.9,27.7768945674104
South Asia,2018,69.9786670021172,42.8,28.2927389615124
South Asia,2017,69.640939541798,44.9,28.6496178209894
South Asia,2016,69.2955176018663,47.1,28.8809367732281
South Asia,2015,68.9038741569933,49.5,31.866828590735
South Asia,2014,68.5391563546581,52.0,39.9254060380995
South Asia,2013,68.1372124395778,54.5,45.7725327356966
South Asia,2012,67.7394326836998,57.1,49.1071611927823
South Asia,2011,67.3190945536556,59.9,50.2336430761617
South Asia,2010,66.8856930675297,62.6,52.2939086564655
South Asia,2009,66.4202117270492,65.4,56.1974256119435
South Asia,2008,66.0378151251133,68.1,62.3550859942369
South Asia,2007,65.6229215415546,70.9,61.5683126498906
South Asia,2006,65.2333638190349,73.8,64.3426810218349
South Asia,2005,64.7149306051818,76.7,71.6395822518291
South Asia,2004,64.3178192642066,79.9,87.1964032497028
South Asia,2003,63.9759280947431,83.0,98.1641177208274
South Asia,2002,63.5295511498477,86.2,104.516939086733
South Asia,2001,63.039940619792,89.7,110.76443393885
South Asia,2000,62.5936893511612,93.4,113.556340429314
South Asia,1999,62.1010845609879,97.2,115.792102313218
South Asia,1998,61.6155199156078,101.0,120.538767579602
South Asia,1997,61.1751373613356,104.7,120.813491245897
South Asia,1996,60.7603389702277,108.5,124.517693187239
South Asia,1995,60.3522569794846,112.2,131.372909583356
South Asia,1994,59.9722651201987,115.8,133.234856291392
South Asia,1993,59.5805392639991,119.4,133.434053163485
South Asia,1992,59.1753563164472,122.9,137.443832529452
South Asia,1991,58.5482053602547,126.6,138.689507972488
South Asia,1990,58.4008475644484,130.5,137.242787834921
Sub-Saharan Africa,2023,62.6029134885664,68.1,93.3843333910915
Sub-Saharan Africa,2022,61.8571795894802,72.8,94.4197483140325
Sub-Saharan Africa,2021,60.7034363660672,72.7,95.681228476507
Sub-Saharan Africa,2020,61.1675270829902,74.7,96.8413628985919
Sub-Saharan Africa,2019,61.1293218424873,77.7,98.860982770669
Sub-Saharan Africa,2018,60.7667275136709,79.8,100.814416826555
Sub-Saharan Africa,2017,60.1584015341066,84.2,102.954508130032
Sub-Saharan Africa,2016,59.8121001978138,85.9,105.943503854009
Sub-Saharan Africa,2015,59.398721466191,88.1,109.354132612629
Sub-Saharan Africa,2014,58.9855723923094,90.3,112.75944972383
Sub-Saharan Africa,2013,58.7179604310977,91.6,114.267761191006
Sub-Saharan Africa,2012,58.2281190131813,94.8,115.619077291734
Sub-Saharan Africa,2011,57.4734418430734,101.2,117.181884776857
Sub-Saharan Africa,2010,57.1070604462139,101.3,117.274136002515
Sub-Saharan Africa,2009,56.3679630366864,106.9,118.386495477741
Sub-Saharan Africa,2008,55.8873142457425,108.7,119.835749870485
Sub-Saharan Africa,2007,55.263324559654,113.3,120.592589146214
Sub-Saharan Africa,2006,54.5901258302239,118.1,122.368609258635
Sub-Saharan Africa,2005,53.8932697449503,123.6,123.683976952699
Sub-Saharan Africa,2004,53.3464613070226,128.9,124.3275621891
Sub-Saharan Africa,2003,52.8273758116531,133.9,125.918379111594
Sub-Saharan Africa,2002,52.3573943143863,139.3,126.800933000675
Sub-Saharan Africa,2001,51.9871852409843,145.0,128.129944890196
Sub-Saharan Africa,2000,51.6452445598305,150.2,128.361918781988
Sub-Saharan Africa,1999,51.007162915265,155.1,128.959446594954
Sub-Saharan Africa,1998,50.5660477844902,162.2,128.234691214763
Sub-Saharan Africa,1997,50.6238137510063,163.8,129.034171568647
Sub-Saharan Africa,1996,50.4514360464676,167.0,131.205954425347
Sub-Saharan Africa,1995,50.4948951919511,170.1,131.396408236447
Sub-Saharan Africa,1994,50.1198955189797,174.7,132.03272657704
Sub-Saharan Africa,1993,50.1822375532185,175.2,133.231093965205
Sub-Saharan Africa,1992,49.9010190613144,180.9,133.176208151117
Sub-Saharan Africa,1991,49.9323096320009,182.3,136.050618870391
Sub-Saharan Africa,1990,50.0362525535801,179.4,137.630119013226
